claim_id,section,claim_type,claim_summary,evidence_source,stage_2_5_status,high_risk_sample
C01,Abstract;Methods,dataset,"The fallback construction yields 59 event clusters, of which 53 support the five-class endpoint.",data/derived/cicapt_phase2_attack_clusters_fallback.json,verified,yes
C02,Methods,dataset,"The grouped evaluation contains 46 embargo groups across three outer folds.",data/derived/cicapt_phase2_grouped_splits.json,verified,yes
C03,Methods,dataset,"The released Phase-2 inputs contain 1004 attack-labeled network observations and 283 timestamped provenance observations.",data/derived/cicapt_phase2_attack_clusters_fallback.json,verified,yes
C04,Methods;Supplement,dataset,"The post-hoc host-link audit finds 8077 usable process-socket observations and 755 endpoint/time matches within 0.1 s.",data/derived/host_link_audit/host_link.summary.json,verified,yes
C05,Methods;Supplement,dataset,"The author-mapped Ubuntu VM1 endpoint receives 733 corroborating socket/flow matches and occurs in all 1004 attack-labeled network rows.",data/derived/host_link_audit/host_link.summary.json;docs/49_cicapt_authoritative_host_mapping.md,verified,yes
C06,Methods;Supplement,dataset,"The host-link-supported cohort contains 33 events, 32 in-support events, and 31 evaluated non-pilot events.",data/derived/host_link_audit/host_link.summary.json,verified,yes
C07,Methods;Validity,scope,"The released-file audit finds no usable malicious-process socket-to-flow match and does not independently verify a packet-to-PID causal join.",data/derived/host_link_audit/host_link.summary.json,verified,yes
C08,Methods,method,"Stage A uses 69 network-window features.",data/derived/stage_a/baseline_run/stage_a_summary.json,verified,no
C09,Methods,method,"Stage B uses 55 typed process features and excludes identity features.",data/derived/stage_b/typed_ranker_run/stage_b_typed_ranker.summary.json,verified,no
C10,Results,empirical,"At the primary Stage-A budget, HGB reaches window AP 0.844 and all-event coverage 0.697 with 0.134 observed false alerts per hour.",data/derived/stage_a/baseline_run/stage_a_summary.json,verified,yes
C11,Results,empirical,"Across four Stage-A budgets, coverage rises from 0.697 to 0.800 while observed false alerts rise from 0.134 to 1.830 per hour.",data/derived/p1_diagnostics/retention_frontier.json,verified,yes
C12,Results,empirical,"The corresponding retained timestamped-provenance byte fraction rises from 0.300 to 0.385.",data/derived/p1_diagnostics/retention_frontier.json,verified,yes
C13,Results,empirical,"Typed Logistic retrieval reaches 0.952 midrank MRR and 0.949 expected-tie Recall at one.",data/derived/stage_b/typed_ranker_run/stage_b_typed_ranker.summary.json,verified,yes
C14,Results,diagnostic,"Candidate graphs have minimum 7, median 14, mean 285.39, and maximum 8924 processes.",data/derived/p0_diagnostics/candidate_size.summary.json,verified,yes
C15,Results,diagnostic,"Retrieval MRR across small, medium, and large candidate-pool strata is 0.993, 0.875, and 0.750.",data/derived/p0_diagnostics/candidate_size.by_bin.csv,verified,yes
C16,Results,diagnostic,"Retrieval radii of 60, 300, and 900 seconds yield truth ceilings of 0.881, 0.983, and 1.000.",data/derived/p1_diagnostics/retrieval_radius.json,verified,yes
C17,Results,diagnostic,"Across ten grouped split seeds, retrieval MRR is 0.940 plus or minus 0.022.",data/derived/p1_diagnostics/repeated_group_cv.json,verified,yes
C18,Results,diagnostic,"Process-family holdout retains approximately 0.93 MRR and 0.92 Recall at one.",data/derived/stage4_revision/stage_b_shortcut_audit/stage_b_shortcut_audit.summary.json,verified,yes
C19,Results,diagnostic,"Removing process semantics lowers retrieval to approximately 0.69 MRR and 0.52 Recall at one.",data/derived/stage4_revision/stage_b_shortcut_audit/stage_b_shortcut_audit.summary.json,verified,yes
C20,Results,empirical,"The full-coverage tactic classifier reaches 0.623 accuracy and 0.399 macro-F1.",data/derived/stage_c/final_run/stage_c_summary.json,verified,yes
C21,Results,baseline,"The fold-local majority baseline labels 26 of 53 events correctly at full coverage.",data/derived/p1_diagnostics/trivial_baselines.json,verified,no
C22,Results,baseline,"The joint endpoint-seeded pruning rule excludes the truth process in all 11 cases in which it activates.",data/derived/p1_diagnostics/trivial_baselines.json,verified,yes
C23,Results,empirical,"At fixed 42-of-53 acceptance, controller risk is 0.381 and posterior-margin risk is 0.310.",data/derived/stage_c/final_run/stage_c_summary.json,verified,yes
C24,Results,diagnostic,"The deletion score provides only 0.032 average truth-removal lift.",data/derived/stage_b/ablation_run/stage_b_feature_ablation.summary.json,verified,no
C25,Results,empirical,"The frozen LLM study contains 954 outputs and both prespecified hypotheses fail.",data/derived/evigate_llm/v6_full/evaluation/evigate_llm.summary.json,verified,yes
C26,Results,empirical,"The first LLM hypothesis yields a 0.039 corruption-macro wrong-label reduction, below its 0.05 target.",data/derived/evigate_llm/v6_full/evaluation/evigate_llm.summary.json,verified,yes
C27,Results,empirical,"The second LLM hypothesis yields 0.588 clean coverage with a 0.216 coverage gap and fails its coverage conditions.",data/derived/evigate_llm/v6_full/evaluation/evigate_llm.summary.json,verified,yes
C28,Results,diagnostic,"At deployable thresholds EviGate-Bind accepts 33 clean events, labels 25 correctly, and labels 8 wrongly.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C29,Results,baseline,"At deployable thresholds posterior margin accepts 38 clean events, labels 28 correctly, and labels 10 wrongly.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C30,Results,diagnostic,"Deployable EviGate-Bind and margin have five-family corruption wrong-label rates of 0.114 and 0.278.",data/derived/evigate_llm/v7_bindgate/reviewer_ablations/evigate_bindgate_reviewer_ablations.summary.json,verified,yes
C31,Results,diagnostic,"Deployable EviGate-Bind and margin have context-replacement wrong-label rates of 0.333 and 0.882.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C32,Results,diagnostic,"At matched clean acceptance, the five-family wrong-label reduction is 0.141 with interval 0.102 to 0.180.",output/figures/ieee/source_data/figure3_effect_estimates.csv,verified,yes
C33,Results,ablation,"Removing posterior-level network features adds 12 of 51 context errors.",data/derived/evigate_llm/p1_feature_ablation/analysis/p1_analysis.summary.json,verified,yes
C34,Results,ablation,"Network-only and provenance-only controls each add 14 of 51 context errors.",data/derived/evigate_llm/p1_feature_ablation/analysis/p1_analysis.summary.json,verified,yes
C35,Results,ablation,"The no-LLM cascade has the same clean outcomes as the full cascade.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C36,Results,ablation,"The LLM incremental three-family reduction is 0.026 with interval minus 0.007 to 0.065; this is not an equivalence result.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C37,Results,diagnostic,"Among accepted foreign packages the full cascade has 0.944 selective risk.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C38,Results,ablation,"Same-tactic-only negative training retains 74.1 percent of the full context-replacement gain.",data/derived/evigate_llm/v7_bindgate/reviewer_ablations/evigate_bindgate_reviewer_ablations.summary.json,verified,yes
C39,Results,diagnostic,"Natural evidence overlap occurs in 13 of 46 embargo groups, covering 26 events and 13 pairs; 11 pairs have bidirectional truth overlap.",data/derived/p0_diagnostics/natural_overlap.summary.json,verified,yes
C40,Results,accounting,"End-to-end accounting gives 15 Stage-A misses, 12 unattributed events, 24 attributed events, and 18 correct labels.",output/figures/ieee/source_data/figure2b_evigate_end_to_end.csv,verified,yes
C41,Results,accounting,"The truth process is present in the top-ten package for 11 of 12 unattributed alerts; the exception ranks 8901 of 8924.",data/derived/evigate_llm/v7_bindgate/revision_diagnostics/evigate_bindgate_revision.summary.json,verified,yes
C42,Results,post_hoc,"On the 31-event host-link-supported subset EviGate-Bind has 22 accepted, 18 correct, and 4 wrong clean outcomes.",data/derived/host_link_audit/host_link.summary.json,verified,yes
C43,Results,post_hoc,"On the same subset EviGate-Bind produces 7 context-replacement wrong labels versus 25 for matched margin.",data/derived/host_link_audit/host_link.summary.json,verified,yes
C44,Discussion,policy,"EviGate-Bind has lower decision cost than calibrated margin when abstention costs less than 0.40 of a wrong label.",data/derived/evigate_llm/p1_feature_ablation/analysis/p1_analysis.summary.json,verified,yes
C45,Discussion,storage,"Compact top-ten packages occupy 0.0327 of full-graph serialized bytes; post-decision acceptance does not reduce acquisition needs.",data/derived/p1_diagnostics/retention_storage.json,verified,no
C46,Reproducibility,performance,"The CPU cascade has 2.64-ms median and 3.83-ms p95 wall time over 306 measurements on the stated server-class CPU.",data/derived/evigate_llm/v7_bindgate/cpu_timing/evigate_bindgate.summary.json,verified,no
C47,Reproducibility,verification,"The maintained repository exposes 130 executable unit tests, including the submission claim audit.",tests,verified,yes
C48,Validity,scope,"The study evaluates within-campaign compatibility-aware triage; direct packet-to-PID causality and cross-campaign generalization are outside its evaluation.",paper/evigate_apt_main.md,verified,yes
C49,Figures,verification,"Figure 3 reports foreign-context, five-family, and clean-risk paired effects of 0.529, 0.141, and 0.091.",output/figures/ieee/source_data/figure3_effect_estimates.csv,verified,yes
C50,Supplement,protocol,"The dataset-independent benchmark contract specifies alert, process, split, evidence, corruption, output, and reproducibility requirements.",paper/evigate_apt_supplement.md,verified,no
C51,Supplement,model,"The frozen Stage C confusion matrix contains 33 correct predictions among 53 in-support events.",data/derived/stage4_revision/diagnostics/stage4_full_coverage_confusion.csv,verified,yes
C52,Supplement,diagnostic,"The post-freeze BindGate score has descriptive clean-versus-foreign AUROC 0.692 on 51 paired packages.",data/derived/p1_diagnostics/gate_discrimination.json,verified,yes
C53,Supplement;Validity,diagnostic,"The fixed-threshold signed clock-offset audit changes the clean operating point at 30-second offsets and requires time alignment.",data/derived/clock_drift/evaluation/clock_drift.summary.json,verified,yes
C54,Results;Supplement,diagnostic,"A post-freeze synthetic Phase-1 busy-window stress adds median 80 benign process candidates and yields Stage-B MRR 0.783 and R@10 0.915 over 59 held-out events.",data/derived/p1_diagnostics/benign_distractors/benign_distractor.summary.json,verified,yes
C55,Supplement,diagnostic,"Across five deterministic benign-window assignments, busy-window Stage-B MRR ranges from 0.760 to 0.849 without retraining.",data/derived/p1_diagnostics/benign_distractors/benign_distractor.summary.json;data/derived/p1_diagnostics/benign_distractors/assignment_01/benign_distractor.summary.json;data/derived/p1_diagnostics/benign_distractors/assignment_02/benign_distractor.summary.json;data/derived/p1_diagnostics/benign_distractors/assignment_03/benign_distractor.summary.json;data/derived/p1_diagnostics/benign_distractors/assignment_04/benign_distractor.summary.json,verified,yes
C56,Methods;Supplement,dataset,"The dataset author's thesis maps 172.16.63.128 to Ubuntu VM1 and 172.16.65.128 to Kali VM1; 172.16.67.128 is Raspberry Pi2.",docs/49_cicapt_authoritative_host_mapping.md,verified,yes
C57,Methods;Supplement,dataset,"The released Caldera attack-information file contains 58 distinct PIDs, all found as attack-labeled Process entities in VM1 provenance.",attack_info.csv;docs/49_cicapt_authoritative_host_mapping.md,verified,yes
C58,Methods;Supplement,dataset,"Every Caldera timestamp has a same-tactic network attack record within 30 seconds; this is campaign-level corroboration, not a packet-to-PID join.",attack_info.csv;docs/49_cicapt_authoritative_host_mapping.md,verified,yes
C59,Supplement;Validity,scope,"Only one of 45 non-cleanup Caldera time/PID pairs has a provenance process time within 60 seconds of its own row, so the file is not substituted for the frozen 59-cluster manifest.",attack_info.csv;docs/49_cicapt_authoritative_host_mapping.md,verified,yes
C60,Methods;Supplement,dataset,"The dataset author describes Caldera-PID provenance labeling and timestamp/IP-calibrated packet-level network labeling as separate procedures.",docs/49_cicapt_authoritative_host_mapping.md,verified,yes
